Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Facing Codependence,"J. Keith Miller, Andrea Wells Miller, Pia Mellody","",9780062505897,paperback,read,2023/03/31,2023/03/31,2023/03/24-2023/03/31,1,informative,medium,,,,,,4.0,"","","","self-help, psychology",No
Where the Deer and the Antelope Play: The Pastoral Observations of One Ignorant American Who Loves to Walk Outside,Nick Offerman,"",9781101984697,hardcover,read,2023/03/05,2023/03/05,2023/02/24-2023/03/05,1,lighthearted,medium,,,,,,4.5,"","","",memoir,No
The Enchiridion,Epictetus,Thomas W. Higginson (Translator),9781981186921,paperback,read,2020/10/23,2020/08/01,2020/08/01,1,"",,,,,,,3.0,,"",,philosophy,No
The 5th Option: Why Your Retirement Plan Won't Work the Way You Think It Will,"Peter G. Bielagus, Walter C. Young III, Walter C. Young III","",9781632994110,hardcover,to-read,2021/11/23,"","",0,"",,,,,,,,,"",,"",No
The Wealthy Ski Bum: 10 Steps to a Successful Retirement,Sandro Rossini,"",9798666257661,paperback,read,2020/10/22,2020/10/25,2020/10/25,1,"",,,,,,,3.0,,"",,finance,No
Magic of Thinking Big,David J. Schwartz,"",9780671646783,paperback,read,2020/09/13,2020/08/09,2020/08/09,1,"",,,,,,,4.0,,"",,psychology,No
"Emotional Inheritance: A Therapist, Her Patients, and the Legacy of Trauma",Galit Atlas,"",9780316492126,hardcover,to-read,2021/11/28,"","",0,"",,,,,,,,,"",,"",No
The Premonition: A Pandemic Story,Michael Lewis,"",9780393881554,hardcover,read,2021/08/23,2021/08/31,2021/08/31,1,"",,,,,,,4.0,,"",,"health, science",No
After America: Get Ready for Armageddon,Mark Steyn,"",9781596981003,hardcover,read,2022/02/07,2022/02/07,2022/02/07,1,"",,,,,,,4.0,,"",,"politics, history",No
"Habitudes: 50 Inspiring Habits That Create Gratitude, Abundance and Joy in Your Life",Dirk Foster,"",B08DN1V2QJ,digital,read,2021/12/13,2021/12/13,2021/12/13,1,"",,,,,,,3.0,,"",,"habits, self-help",No
The Wealthy Renter: How to Choose Housing That Will Make You Rich,Alex Avery,"",9781459736474,digital,read,2021/05/27,2021/05/27,2021/05/27,1,"",,,,,,,5.0,,"",,finance,No
Accelerated Learning Unlocked: 40+ Expert Techniques for Rapid Skill Acquisition and Memory Improvement. The Step-by-Step Guide for Beginners to Quickly Cut Your Study Time for Anything New in Half,John R. Torrance,"",B084RSYCNY,digital,read,2023/05/13,2023/05/13,2023/05/10-2023/05/13,1,informative,medium,,,,,,3.0,"","","","learning, memoy",No
Human-Centered Communication: A Business Case Against Digital Pollution,"Stephen Pacinelli, Ethan Beute, Ethan Beute","",9781639080007,hardcover,to-read,2021/10/27,"","",0,"",,,,,,,,,"",,"",No
"The Slumbering Masses: Sleep, Medicine, and Modern American Life",Matthew J. Wolf-Meyer,"",9780816674749,hardcover,read,2022/04/06,2022/04/06,2022/04/06,1,"",,,,,,,3.0,,"",,"sleep, history, science",No
ORION  A life-changing Journey,Rosario Martone,"",B08ZK1ZJ8N,digital,read,2021/06/18,2021/06/24,2021/06/24,1,"",,,,,,,2.0,,"",,memoir,No
Ten Arguments for Deleting Your Social Media Accounts Right Now,Jaron Lanier,"",9781250239082,paperback,read,2020/09/14,2020/09/20,2020/09/20,1,"",,,,,,,4.0,,"",,"social-media, philosophy, technology, psychology",No
Severed: A History of Heads Lost and Heads Found,Frances Larson,"",9780871404541,hardcover,read,2021/08/23,2021/08/23,2021/08/23,1,"",,,,,,,3.0,,"",,"history, science",No
"Goodbye, Things: The New Japanese Minimalism",Fumio Sasaki,Eriko Sugita (Translator),9780393609035,hardcover,read,2021/12/23,2021/12/23,2021/12/23,1,"",,,,,,,4.0,,"",,minimalism,No
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"",9781524731656,hardcover,read,2021/03/23,2021/03/23,2021/03/23,1,"",,,,,,,5.0,,"",,true-crime,No
Darkness Visible: A Memoir of Madness,William Styron,"",9780679736394,paperback,read,2020/09/12,2020/08/23,2020/08/23,1,"",,,,,,,4.0,,"",,"psychology, memoir",No
Think and Grow Rich,Napoleon Hill,"",9781599866857,hardcover,read,2020/09/13,2020/07/01,2020/07/01,1,"",,,,,,,2.0,,"",,"finance, psychology",No
The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World,Max Fisher,"",9780316703321,hardcover,read,2022/11/06,2022/11/06,2022/11/06,1,"",,,,,,,5.0,,"",,"social-media, technology, psychology",No
"Endurance: Shackleton's Incredible Voyage to the Antarctic by Lansing, Alfred (2001) Hardcover",Alfred Lansing,"",,,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
A Place to Stand,Jimmy Santiago Baca,"",9780802139085,paperback,read,2021/07/14,2021/07/30,2021/07/30,1,"",,,,,,,3.0,,"",,memoir,No
366 Stoic Quotes: A Year Of Stoicism From Ancient And Modern Stoics - A Daily Guide Of Stoic Meditations,Alexander Clavell,"",B081ZXQB52,digital,read,2021/07/17,2021/07/18,2021/07/18,1,"",,,,,,,5.0,,"",,philosophy,No
After Harm: Medical Error and the Ethics of Forgiveness,Nancy Berlinger,"",,,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
SQL Antipatterns: Avoiding the Pitfalls of Database Programming,Bill Karwin,"",9781934356555,paperback,read,2023/02/09,2023/02/09,2023/02/01-2023/02/09,1,informative,medium,,,,,,4.0,"","","","sql, programming",No
Discipline and Punish: The Birth of the Prison,Michel Foucault,Alan Sheridan (Translator),9780679752554,paperback,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"",9781984878106,hardcover,read,2021/05/14,2021/05/14,2021/05/14,1,"",,,,,,,5.0,,"",,"logic, psychology",No
How to: Absurd Scientific Advice for Common Real-World Problems,Randall Munroe,"",9780525537090,hardcover,read,2022/08/11,2022/08/01,2022/08/01,1,"",,,,,,,4.0,,"",,"funny, nonsense, science",No
"The Stoic Challenge: A Philosopher's Guide to Becoming Tougher, Calmer, and More Resilient",William B. Irvine,"","",digital,read,2021/04/15,2021/04/25,2021/04/25,1,"",,,,,,,4.0,,"",,"philosophy, self-help",No
The Choice: Embrace the Possible,Edith Eva Eger,"Esmé Schwall Weigand, Philip G. Zimbardo",9781501130786,hardcover,to-read,2021/12/29,"","",0,"",,,,,,,,,"",,"",No
Biography of Resistance: The Epic Battle Between People and Pathogens,Muhammad H. Zaman,"",9780062862983,digital,read,2021/08/13,2021/08/13,2021/08/13,1,"",,,,,,,3.0,,"",,"health, science",No
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,"",9781544512273,paperback,read,2021/01/08,2021/01/08,2021/01/08,1,"",,,,,,,4.0,,"",,psychology,No
